time,open,high,low,close,tick_volume,spread,real_volume,news_impact,news_event,news_currency,minutes_from_news,label
2025-06-30 11:45:00,1.1724,1.17286,1.17225,1.17226,556,9,0,Medium,German Prelim CPI m/m,EUR,-14.0,1.0
2025-06-30 12:00:00,1.17228,1.17248,1.17144,1.17162,683,9,0,Medium,German Prelim CPI m/m,EUR,1.0,1.0
2025-06-30 23:45:00,1.17835,1.17871,1.1783,1.17859,328,9,0,Medium,ECB President Lagarde Speaks,EUR,-45.0,0.0
2025-07-01 00:00:00,1.17859,1.17938,1.17859,1.17935,572,9,0,Medium,ECB President Lagarde Speaks,EUR,-30.0,0.0
2025-07-01 00:15:00,1.17935,1.17943,1.17861,1.17904,524,9,0,Medium,ECB President Lagarde Speaks,EUR,-15.0,0.0
2025-07-01 00:30:00,1.17907,1.17943,1.17903,1.17909,446,9,0,Medium,ECB President Lagarde Speaks,EUR,0.0,0.0
2025-07-01 00:45:00,1.17909,1.17976,1.17903,1.17969,458,9,0,Medium,ECB President Lagarde Speaks,EUR,15.0,-1.0
2025-07-01 01:00:00,1.17971,1.17972,1.17918,1.17952,477,9,0,Medium,ECB President Lagarde Speaks,EUR,30.0,-1.0
2025-07-01 01:15:00,1.17952,1.18075,1.17928,1.17928,1063,9,0,Medium,ECB President Lagarde Speaks,EUR,45.0,-1.0
2025-07-01 01:30:00,1.17928,1.17928,1.17847,1.17877,540,9,0,Medium,ECB President Lagarde Speaks,EUR,60.0,-1.0
2025-07-01 14:30:00,1.17924,1.17957,1.17756,1.17835,1239,9,0,Medium,Core CPI Flash Estimate y/y,EUR,0.0,1.0
2025-07-01 18:30:00,1.17761,1.17784,1.17747,1.17759,401,9,0,Medium,ECB President Lagarde Speaks,EUR,-30.0,1.0
2025-07-01 18:45:00,1.17761,1.17805,1.17746,1.17805,442,9,0,Medium,ECB President Lagarde Speaks,EUR,-15.0,1.0
2025-07-01 19:00:00,1.17806,1.17907,1.17788,1.17892,650,9,0,Medium,ECB President Lagarde Speaks,EUR,0.0,1.0
2025-07-01 19:30:00,1.17837,1.1785,1.17819,1.1785,345,9,0,High,ISM Manufacturing PMI,USD,0.0,1.0
2025-07-02 17:30:00,1.17931,1.17978,1.17931,1.17953,420,9,0,High,ADP Non-Farm Employment Change,USD,-15.0,0.0
2025-07-02 17:45:00,1.17953,1.17987,1.1794,1.17953,377,9,0,High,ADP Non-Farm Employment Change,USD,0.0,0.0
2025-07-02 18:00:00,1.17952,1.17967,1.17928,1.17967,388,9,0,High,ADP Non-Farm Employment Change,USD,15.0,1.0
2025-07-02 18:15:00,1.17966,1.17979,1.17936,1.17979,400,9,0,High,ADP Non-Farm Employment Change,USD,30.0,-1.0
2025-07-02 19:30:00,1.17966,1.1799,1.17959,1.17961,321,9,0,Medium,ECB President Lagarde Speaks,EUR,-15.0,-1.0
2025-07-02 19:45:00,1.17961,1.1803,1.17959,1.18019,337,9,0,Medium,ECB President Lagarde Speaks,EUR,0.0,-1.0
2025-07-03 19:45:00,1.17489,1.17522,1.17471,1.17472,213,9,0,High,ISM Services PMI,USD,15.0,-1.0
2025-07-09 23:15:00,1.17226,1.17274,1.17226,1.17272,187,9,0,High,FOMC Meeting Minutes,USD,-15.0,1.0
2025-07-09 23:30:00,1.1727,1.17302,1.17251,1.17279,197,9,0,High,FOMC Meeting Minutes,USD,0.0,1.0
2025-07-09 23:45:00,1.17279,1.17392,1.17268,1.17375,427,9,0,High,FOMC Meeting Minutes,USD,15.0,1.0
2025-07-10 00:00:00,1.17375,1.17467,1.17351,1.17434,872,9,0,High,FOMC Meeting Minutes,USD,30.0,-1.0
2025-07-10 00:15:00,1.17435,1.17464,1.17412,1.17454,526,9,0,High,FOMC Meeting Minutes,USD,45.0,-1.0
2025-07-10 00:30:00,1.17456,1.17492,1.17434,1.17458,593,9,0,High,FOMC Meeting Minutes,USD,60.0,-1.0
2025-07-10 17:00:00,1.16852,1.16902,1.16834,1.16864,570,9,0,High,Unemployment Claims,USD,-60.0,0.0
2025-07-10 17:15:00,1.16862,1.16899,1.16847,1.16858,408,9,0,High,Unemployment Claims,USD,-45.0,1.0
2025-07-10 17:30:00,1.16858,1.16882,1.16812,1.16872,468,9,0,High,Unemployment Claims,USD,-30.0,0.0
2025-07-10 17:45:00,1.1687,1.1691,1.16865,1.16887,448,9,0,High,Unemployment Claims,USD,-15.0,0.0
2025-07-10 18:00:00,1.16887,1.16944,1.16878,1.16936,469,9,0,High,Unemployment Claims,USD,0.0,-1.0
2025-07-10 18:30:00,1.16917,1.16923,1.16874,1.16874,393,9,0,High,Unemployment Claims,USD,30.0,-1.0
2025-07-10 18:45:00,1.16873,1.16928,1.16873,1.16916,461,9,0,High,Unemployment Claims,USD,45.0,-1.0
2025-07-15 13:30:00,1.16667,1.16675,1.16421,1.16478,2128,9,0,Medium,German ZEW Economic Sentiment,EUR,-60.0,-1.0
2025-07-15 13:45:00,1.16476,1.16481,1.16385,1.16427,1604,9,0,Medium,German ZEW Economic Sentiment,EUR,-45.0,-1.0
2025-07-15 14:00:00,1.16428,1.16439,1.16277,1.16354,2031,9,0,Medium,German ZEW Economic Sentiment,EUR,-30.0,0.0
2025-07-15 14:15:00,1.16351,1.16364,1.16213,1.16216,1705,9,0,Medium,German ZEW Economic Sentiment,EUR,-15.0,1.0
2025-07-15 14:30:00,1.16214,1.16246,1.16157,1.16185,1296,9,0,Medium,German ZEW Economic Sentiment,EUR,0.0,1.0
2025-07-16 18:00:00,1.16413,1.16441,1.1634,1.16373,981,9,0,High,Core PPI m/m,USD,0.0,-1.0
2025-07-16 18:15:00,1.16374,1.16398,1.16352,1.16368,676,9,0,High,Core PPI m/m,USD,15.0,-1.0
2025-07-18 03:00:00,1.16287,1.16302,1.16268,1.16292,275,9,0,Medium,FOMC Member Waller Speaks,USD,-60.0,-1.0
2025-07-18 03:15:00,1.16293,1.16294,1.16257,1.16271,320,9,0,Medium,FOMC Member Waller Speaks,USD,-45.0,-1.0
2025-07-18 03:30:00,1.1627,1.16315,1.1625,1.16262,329,9,0,Medium,FOMC Member Waller Speaks,USD,-30.0,-1.0
2025-07-18 03:45:00,1.16262,1.16265,1.16218,1.16237,363,9,0,Medium,FOMC Member Waller Speaks,USD,-15.0,0.0
2025-07-18 04:00:00,1.16236,1.16237,1.16191,1.16207,337,9,0,Medium,FOMC Member Waller Speaks,USD,0.0,1.0
2025-07-18 19:00:00,1.16213,1.16222,1.16171,1.16182,362,9,0,Medium,Prelim UoM Consumer Sentiment,USD,-30.0,
2025-07-18 19:45:00,1.16187,1.16229,1.1618,1.16218,397,9,0,Medium,Prelim UoM Consumer Sentiment,USD,15.0,
2025-07-18 20:00:00,1.16216,1.16263,1.16212,1.16259,291,9,0,Medium,Prelim UoM Consumer Sentiment,USD,30.0,
