time,open,high,low,close,tick_volume,spread,real_volume
2025-06-23 16:45:00,146.357,146.369,146.227,146.359,1680,9,0
2025-06-23 17:00:00,146.361,146.479,146.325,146.475,1709,9,0
2025-06-23 17:15:00,146.478,146.522,146.361,146.395,1534,9,0
2025-06-23 17:30:00,146.397,146.402,146.146,146.171,1476,9,0
2025-06-23 17:45:00,146.175,146.278,146.169,146.205,1131,9,0
2025-06-23 18:00:00,146.207,146.216,146.049,146.062,1122,9,0
2025-06-23 18:15:00,146.062,146.109,146.007,146.105,1031,9,0
2025-06-23 18:30:00,146.107,146.242,146.074,146.113,1202,9,0
2025-06-23 18:45:00,146.111,146.17,146.044,146.157,1054,9,0
2025-06-23 19:00:00,146.156,146.167,146.075,146.092,857,9,0
2025-06-23 19:15:00,146.094,146.2,146.094,146.176,687,9,0
2025-06-23 19:30:00,146.174,146.186,146.089,146.106,677,9,0
2025-06-23 19:45:00,146.105,146.157,146.099,146.141,780,9,0
2025-06-23 20:00:00,146.135,146.139,146.065,146.113,419,9,0
2025-06-23 20:15:00,146.113,146.117,146.024,146.061,368,9,0
2025-06-23 20:30:00,146.061,146.155,146.057,146.13,374,9,0
2025-06-23 20:45:00,146.13,146.157,146.11,146.129,391,9,0
2025-06-23 21:00:00,146.129,146.129,145.925,146.099,113,38,0
2025-06-23 21:15:00,146.112,146.134,145.978,146.101,175,38,0
2025-06-23 21:30:00,146.109,146.158,146.026,146.156,189,38,0
2025-06-23 21:45:00,146.141,146.163,146.092,146.126,123,38,0
2025-06-23 22:00:00,146.147,146.175,145.825,145.913,686,9,0
2025-06-23 22:15:00,145.913,145.946,145.746,145.858,851,9,0
2025-06-23 22:30:00,145.858,145.934,145.819,145.923,693,9,0
2025-06-23 22:45:00,145.923,146.003,145.899,145.93,564,9,0
2025-06-23 23:00:00,145.929,146.041,145.876,145.978,1119,9,0
2025-06-23 23:15:00,145.979,145.981,145.739,145.811,1348,9,0
2025-06-23 23:30:00,145.814,145.876,145.73,145.738,1192,9,0
2025-06-23 23:45:00,145.737,145.945,145.694,145.918,1357,9,0
2025-06-24 00:00:00,145.918,145.936,145.759,145.761,2153,9,0
2025-06-24 00:15:00,145.76,145.859,145.752,145.826,1349,9,0
2025-06-24 00:30:00,145.826,145.829,145.601,145.603,1328,9,0
2025-06-24 00:45:00,145.601,145.846,145.561,145.6,2671,9,0
2025-06-24 01:00:00,145.603,145.674,145.47,145.527,1462,9,0
2025-06-24 01:15:00,145.528,145.576,145.471,145.562,1120,9,0
2025-06-24 01:30:00,145.564,145.704,145.523,145.668,1241,9,0
2025-06-24 01:45:00,145.668,145.73,145.616,145.673,1065,9,0
2025-06-24 02:00:00,145.676,145.698,145.568,145.588,1061,9,0
2025-06-24 02:15:00,145.588,145.708,145.548,145.569,914,9,0
2025-06-24 02:30:00,145.567,145.567,145.478,145.486,909,9,0
2025-06-24 02:45:00,145.486,145.528,145.41,145.505,805,9,0
2025-06-24 03:00:00,145.502,145.51,145.421,145.451,651,9,0
2025-06-24 03:15:00,145.452,145.467,145.396,145.406,604,9,0
2025-06-24 03:30:00,145.406,145.442,145.32,145.349,736,9,0
2025-06-24 03:45:00,145.349,145.415,145.284,145.411,657,9,0
2025-06-24 04:00:00,145.411,145.512,145.387,145.461,793,9,0
2025-06-24 04:15:00,145.461,145.492,145.41,145.437,649,9,0
2025-06-24 04:30:00,145.438,145.44,145.355,145.395,570,9,0
2025-06-24 04:45:00,145.395,145.431,145.329,145.416,687,9,0
2025-06-24 05:00:00,145.417,145.511,145.404,145.51,809,9,0
2025-06-24 05:15:00,145.51,145.51,145.443,145.476,606,9,0
2025-06-24 05:30:00,145.476,145.489,145.399,145.443,849,9,0
2025-06-24 05:45:00,145.445,145.455,145.277,145.306,813,9,0
2025-06-24 06:00:00,145.303,145.311,145.19,145.256,1293,9,0
2025-06-24 06:15:00,145.255,145.261,145.042,145.109,1483,9,0
2025-06-24 06:30:00,145.111,145.248,145.078,145.115,1320,9,0
2025-06-24 06:45:00,145.114,145.213,145.101,145.195,1159,9,0
2025-06-24 07:00:00,145.193,145.237,145.023,145.026,1670,9,0
2025-06-24 07:15:00,145.025,145.091,144.99,145.04,1238,9,0
2025-06-24 07:30:00,145.043,145.262,145.038,145.247,2079,9,0
2025-06-24 07:45:00,145.248,145.406,145.211,145.316,1910,9,0
2025-06-24 08:00:00,145.316,145.329,145.082,145.088,1260,9,0
2025-06-24 08:15:00,145.086,145.144,144.94,145.06,1427,9,0
2025-06-24 08:30:00,145.057,145.082,144.95,145.014,1239,9,0
2025-06-24 08:45:00,145.013,145.107,144.995,145.091,1079,9,0
2025-06-24 09:00:00,145.091,145.15,145.043,145.111,1244,9,0
2025-06-24 09:15:00,145.113,145.145,145.035,145.106,1030,9,0
2025-06-24 09:30:00,145.108,145.119,144.916,144.918,1072,9,0
2025-06-24 09:45:00,144.918,144.972,144.846,144.967,1154,9,0
2025-06-24 10:00:00,144.967,145.06,144.91,145.011,919,9,0
2025-06-24 10:15:00,145.013,145.11,144.993,145.03,591,9,0
2025-06-24 10:30:00,145.028,145.055,144.991,145.027,605,9,0
2025-06-24 10:45:00,145.023,145.125,145.022,145.092,696,9,0
2025-06-24 11:00:00,145.093,145.146,145.002,145.019,716,9,0
2025-06-24 11:15:00,145.019,145.029,144.927,144.961,826,9,0
2025-06-24 11:30:00,144.959,144.959,144.898,144.927,882,9,0
2025-06-24 11:45:00,144.926,145.013,144.898,144.959,877,9,0
2025-06-24 12:00:00,144.96,145.054,144.928,144.994,1043,9,0
2025-06-24 12:15:00,144.997,145.154,144.997,145.108,1221,9,0
2025-06-24 12:30:00,145.111,145.181,144.92,144.971,1753,9,0
2025-06-24 12:45:00,144.969,145.025,144.941,144.987,1386,9,0
2025-06-24 13:00:00,144.987,145.124,144.848,145.097,1527,9,0
2025-06-24 13:15:00,145.095,145.189,145.062,145.112,1586,9,0
2025-06-24 13:30:00,145.113,145.145,145.032,145.138,1290,9,0
2025-06-24 13:45:00,145.139,145.145,145.038,145.048,933,9,0
2025-06-24 14:00:00,145.045,145.045,144.735,144.767,1939,9,0
2025-06-24 14:15:00,144.767,144.802,144.51,144.577,2775,9,0
